sepal_length,sepal_width,petal_length,petal_width,species,color,,,,,Predefined functions,,,,,,,,ADVANCED EXCEL FUNCTIONS,,,,,,,,,
5.1267,3.5,1.4,0.2,setosa,pink,,,,,ROUND,SQRT,AVERAGE,MIN,,,,,DATE,,,FIND,,,,,,
4.99,3,1.4,0.2,setosa,pink,,,,,5.13,1.870828693,3.345454545,2.9,,,,,03-06-2026,,,4,,,,,,
4.7389,3.2,1.3,0.2,setosa,pink,,,,,4.99,1.732050808,LEFT,MAX,,,,,EOMONTH,,,REPLACE,,,,,,
4.683,3.1,1.5,0.2,setosa,pink,,,,,4.74,1.788854382,se,5.49,,,,,46295,,,irissa,,,,,,
5,3.6,1.4,0.2,setosa,pink,,,,,4.68,1.760681686,RIGHT,SUM,,,,,NETWORKDAYS,,,SUBSTITUTE,,,,,,
5.49,3.9,1.7,0.4,setosa,pink,,,,,5,1.897366596,sa,2.4,,,,,23,,,petosa,,,,,,
4.6908,3.4,1.4,0.3,setosa,pink,,,,,5.49,1.974841766,,MEDIAN,,,,,WEEKDAY,,,MID,,,,,,
5,3.4,1.5,0.2,setosa,pink,,,,,4.69,1.843908891,,1.45,,,,,4,,,set,,,,,,
4.40908,2.9,1.4,0.2,setosa,pink,,,,,5,1.843908891,,RANK,,,,,,,,SEARCH,,,,,,
4.9789,3.1,1.5,0.1,setosa,pink,,,,,4.41,1.702938637,,2,,,,,,,,5,,,,,,
5.487,3.7,1.5,0.2,setosa,pink,,,,,4.98,1.760681686,,,,,,,,,,CONCAT,,,,,,
4.8,3.4,1.6,0.2,setosa,pink,,,,,5.49,1.923538406,,,,,,,,,,setosaversicolor,,,,,,
4.8,3,1.4,0.1,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.3,3,1.1,0.1,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.8,4,1.2,0.2,setosa,pink,,,,,MATHEMATICAL FUNCTIIONS,,,,,,,,vlookup,,,,,,,,,
